cgpa,tenth_percent,twelfth_percent,skills_count,projects_count,certifications_count,internships_count,backlogs,placed
8.3,88.06,81.13,4,2,0,0,1,1
7.66,74.62,76.14,6,2,3,0,1,1
8.45,88.96,81.1,3,4,2,1,0,1
9.32,92.85,84.89,2,0,1,0,0,1
7.57,85.31,80.44,3,2,5,2,0,1
7.57,97.01,80.37,3,0,0,1,1,1
9.38,75.81,73.68,3,0,1,0,1,0
8.57,72.04,74.03,6,1,1,1,1,1
7.33,67.77,67.38,7,2,0,1,1,1
8.34,93.97,95.75,2,0,1,2,0,1
7.34,87.23,68.81,4,1,1,0,0,1
7.33,81.56,73.76,3,4,1,0,0,1
8.04,84.24,73.53,6,3,2,2,0,1
5.89,73.0,88.05,8,4,2,2,1,1
6.08,99.0,77.35,5,2,1,1,0,1
7.24,83.03,91.23,4,2,1,1,0,1
6.79,82.88,73.94,1,2,2,0,0,1
8.11,87.81,82.51,2,1,0,1,2,1
6.89,85.85,72.48,5,1,0,0,0,1
6.39,83.79,98.0,5,1,2,0,0,1
9.27,75.68,69.31,3,1,1,1,0,1
7.57,85.77,82.79,1,3,1,0,0,1
7.87,97.06,85.7,1,2,1,1,0,1
6.38,92.76,83.72,4,2,0,2,1,1
7.26,94.75,78.33,8,2,0,0,0,1
7.91,77.91,78.83,3,0,2,2,1,1
6.65,74.08,80.39,6,1,0,2,0,1
8.18,80.99,78.68,1,4,0,1,0,1
7.2,82.45,88.67,4,2,1,0,1,1
7.51,90.75,98.0,4,4,3,0,0,1
7.2,68.46,74.98,6,4,0,1,0,1
9.65,94.24,67.67,1,2,3,0,1,1
7.79,80.74,79.21,7,1,3,0,0,1
6.74,78.58,98.0,2,3,2,2,1,1
8.62,73.9,72.77,5,3,1,0,0,1
6.58,68.76,94.75,6,1,1,1,0,1
8.01,88.59,95.1,7,1,2,0,0,1
5.84,82.59,75.02,5,4,1,1,1,1
6.47,71.68,85.12,4,1,3,2,0,1
8.0,71.64,94.66,5,4,1,0,1,1
8.54,79.31,76.59,5,0,1,0,2,1
7.97,95.35,78.17,3,3,1,1,0,1
7.68,79.92,74.76,1,3,3,1,0,1
7.5,69.97,70.87,4,3,2,1,0,1
6.32,80.03,74.16,8,2,0,0,0,1
7.08,79.82,68.98,3,1,3,0,0,1
7.34,60.42,80.31,2,0,2,2,0,1
8.86,81.57,73.07,4,2,2,2,2,1
8.14,80.15,82.1,3,2,3,1,1,1
6.04,87.57,66.0,3,2,2,2,1,0
8.12,96.79,82.98,2,3,1,1,1,1
7.41,91.01,87.5,5,3,3,1,0,1
7.12,79.85,62.06,5,1,3,0,1,0
8.41,73.15,83.37,4,2,1,1,1,1
8.83,99.0,91.05,3,1,3,1,0,1
8.73,82.47,69.11,7,2,2,0,2,0
6.96,82.11,95.05,4,0,2,1,0,1
7.49,81.81,83.77,3,1,2,1,0,1
8.13,83.58,73.65,1,1,2,1,1,1
8.78,80.85,79.5,2,2,4,1,2,1
7.32,77.41,85.02,3,1,1,2,0,1
7.61,77.63,80.68,3,1,1,0,1,0
6.69,81.74,84.85,5,2,1,1,0,1
6.6,77.65,71.71,4,4,2,1,0,1
8.61,76.3,81.52,5,0,0,1,1,1
9.16,82.85,67.28,7,1,1,0,0,1
7.73,79.96,79.0,3,4,0,0,1,1
8.8,94.03,71.86,5,2,4,2,0,1
8.16,60.79,73.38,2,1,2,1,0,1
7.15,90.73,91.12,6,1,4,2,1,1
8.16,91.97,89.82,5,3,2,1,0,1
9.34,65.41,85.48,6,1,1,1,0,1
7.76,79.26,70.17,3,3,1,1,2,0
9.36,79.03,77.15,2,3,3,1,0,1
5.18,70.74,90.92,1,2,3,1,1,0
8.62,75.78,81.28,2,2,1,1,0,1
7.89,73.12,98.0,3,4,0,1,0,1
7.5,96.02,83.54,2,1,2,1,0,1
7.89,89.49,81.73,7,1,3,1,0,1
5.81,92.17,77.22,2,2,2,0,0,0
7.58,87.77,81.2,4,1,0,2,0,1
8.16,72.97,78.63,4,3,0,0,0,1
9.28,77.8,86.37,1,3,2,1,0,1
7.28,85.91,88.61,4,4,0,1,0,1
6.99,72.22,72.93,6,1,1,1,0,1
7.3,87.7,68.02,4,1,1,1,0,1
8.72,80.08,63.47,7,1,0,0,1,1
8.13,79.0,84.57,2,1,1,1,0,0
7.27,87.69,70.07,4,2,1,1,1,1
8.31,85.55,60.62,5,0,2,1,0,1
7.9,79.11,83.5,5,1,2,0,1,0
8.77,91.27,98.0,1,2,0,2,1,1
7.1,73.35,79.95,5,4,3,1,1,0
7.47,86.93,87.55,3,0,0,2,0,1
7.41,86.74,80.74,4,0,1,1,2,0
6.34,79.52,79.11,2,1,2,1,1,1
8.1,84.61,88.27,5,1,3,2,1,1
8.06,71.99,77.39,8,4,0,2,0,1
7.81,89.39,82.41,4,2,1,1,0,1
7.57,80.52,82.9,9,2,1,0,0,1
6.38,77.82,73.99,3,2,1,1,0,0
7.38,90.39,88.93,3,5,1,1,1,1
7.46,76.37,78.43,1,3,1,0,0,1
7.0,70.73,73.2,4,4,1,0,0,1
7.64,69.55,84.83,4,3,3,2,0,1
8.2,86.85,71.91,1,0,0,0,0,1
9.69,71.76,80.25,3,3,2,1,0,1
7.97,96.04,79.92,4,2,1,0,1,0
8.06,65.34,89.77,7,3,1,0,0,1
7.73,95.57,84.27,4,3,3,0,0,1
5.88,83.69,79.77,3,1,2,0,0,1
7.77,81.23,87.36,1,1,0,1,0,1
7.86,77.64,92.51,5,4,0,2,0,1
10.0,85.19,85.02,7,0,0,0,1,1
7.61,81.7,80.09,4,2,1,1,1,1
8.1,90.83,68.19,4,3,1,1,1,1
7.77,82.91,70.41,1,1,3,2,1,1
6.63,83.2,77.25,8,0,1,1,0,1
8.94,79.09,74.51,4,3,1,1,2,1
8.55,81.54,78.32,1,2,2,1,1,1
8.59,84.46,80.51,1,1,2,2,1,1
6.89,68.32,84.77,2,2,1,0,0,1
9.2,71.21,79.37,4,1,3,1,1,1
6.4,87.95,84.38,1,0,0,2,1,1
8.39,83.37,80.58,7,2,2,1,1,1
9.99,80.53,62.22,4,0,3,1,0,1
6.81,82.15,71.55,7,3,3,1,1,1
7.23,84.78,78.7,6,2,2,0,2,1
7.9,77.68,69.11,5,4,2,1,1,1
7.3,75.77,85.4,7,1,3,1,0,1
6.25,83.57,93.78,6,0,1,1,2,0
7.87,74.17,90.97,8,0,0,1,0,1
6.74,85.27,78.08,4,4,1,2,0,1
8.27,68.38,93.42,2,0,1,0,0,1
6.88,90.23,81.34,8,5,1,1,1,1
9.35,85.78,76.97,6,0,3,1,0,1
7.02,84.05,74.48,2,3,0,1,0,1
7.48,89.86,77.28,5,2,2,0,1,1
8.61,95.32,76.51,4,1,1,1,1,0
6.57,90.11,81.53,3,1,2,2,0,1
8.03,67.27,81.45,4,1,0,1,1,1
9.11,71.76,80.03,3,2,0,2,2,1
6.19,77.0,83.93,3,3,2,2,0,1
7.98,82.21,90.72,6,2,0,0,0,1
8.06,86.14,88.55,3,3,2,0,0,1
8.58,76.19,66.64,3,3,1,2,0,1
6.56,83.49,57.01,3,1,2,2,0,1
6.48,75.96,88.41,5,2,2,0,1,1
8.32,77.11,67.7,3,2,1,0,1,1
8.1,70.75,77.98,4,2,2,0,0,1
8.05,74.61,69.47,3,4,0,2,0,1
8.15,71.19,63.78,3,1,0,0,0,1
7.12,74.19,84.87,6,0,1,1,0,1
8.03,90.43,86.83,4,1,2,2,0,1
8.09,74.4,74.81,7,2,1,0,1,1
7.09,99.0,56.68,1,0,0,1,1,0
